player_id,player_name,birth_date,country,position,bats,throws,sign_date,signing_bonus_usd,source_updated_at
INT-0001,Andres Kim,1999-09-06,Venezuela,OF,R,R,2018-07-02,22000.0,2025-02-26
INT-0002,Ji-ho Sato,2003-03-03,Cuba,C,R,L,2021-07-02,25000.0,2025-05-25
INT-0003,Haruto Kim,2003-01-15,Dominican Republic,C,R,R,2019-07-02,55000.0,2025-08-06
INT-0004,Luis Estrada,2004-09-26,Venezuela,RHP,R,R,2021-07-02,99000.0,2025-06-04
INT-0005,Seong-hyun Garcia,2006-08-13,Dominican Republic,OF,R,R,2024-07-02,38000.0,2025-06-13
INT-0006,Yun-seo Vargas,2004-07-03,South Korea,IF,R,R,2022-07-02,216000.0,2025-01-07
INT-0007,Seong-hyun Benitez,2002-08-04,Dominican Republic,LHP,R,L,2020-07-02,97000.0,2025-04-01
INT-0008,Carlos Castillo,2005-02-25,Japan,C,R,R,2023-07-02,79000.0,2025-06-10
INT-0009,Omar Castillo,2002-11-14,Dominican Republic,OF,R,R,2020-07-02,81000.0,2025-01-03
INT-0010,Luis Han,2005-04-22,Venezuela,RHP,R,R,2023-07-02,25000.0,2025-02-16
INT-0011,Carlos Sato,2006-01-05,Dominican Republic,C,R,L,2023-07-02,43000.0,2025-09-16
INT-0012,Luis Navarro,2000-12-12,MEX,RHP,S,R,2018-07-02,779000.0,2025-05-13
INT-0013,Ji-ho Jimenez,2006-06-08,Venezuela,IF,R,R,2022-07-02,58000.0,2025-02-08
INT-0014,Esteban Tanaka,2001-02-17,Japan,IF,L,R,2020-07-02,135000.0,2025-09-09
INT-0015,Emilio Rojas,2007-04-27,Dominican Republic,C,S,R,2025-07-02,30000.0,2025-08-25
INT-0016,Esteban Han,1999-10-10,Mexico,LHP,S,L,2018-07-02,159000.0,2025-09-07
INT-0017,Alejandro Dominguez,2005-03-10,Cuba,RHP,R,R,2023-07-02,19000.0,2025-09-01
INT-0018,Diego Herrera,2007-02-09,Dominican Republic,IF,L,R,2025-07-02,24000.0,2025-08-04
INT-0019,Jorge Dominguez,2007-04-04,Colombia,LHP,R,L,2024-07-02,51000.0,2025-06-15
INT-0020,Daniel Sato,2005-06-01,Dominican Republic,RHP,L,R,2024-07-02,76000.0,2025-06-03
INT-0021,Gabriel Park,2002-07-21,KOR,RHP,R,R,2020-07-02,10000.0,2025-03-07
INT-0022,Ruben Nakamura,2006-01-13,Cuba,RHP,S,R,2024-07-02,64000.0,2025-02-08
INT-0023,Rafael Estrada,2005-01-06,Dominican Republic,RHP,R,R,2021-07-02,45000.0,2025-07-24
INT-0024,Ji-ho Choi,2007-03-07,Dominican Republic,RHP,L,R,2023-07-02,80000.0,2025-04-25
INT-0025,Ren Dominguez,2001-12-09,Cuba,OF,R,R,2020-07-02,67000.0,2025-09-24
INT-0026,Seong-hyun Ramirez,2001-04-02,Venezuela,IF,R,R,2018-07-02,10000.0,2025-04-11
INT-0027,Diego Tanaka,2005-11-24,Dominican Republic,OF,L,R,2022-07-02,206000.0,2025-07-18
INT-0028,Andres Lopez,2004-09-14,Japan,RHP,R,L,2023-07-02,271000.0,2025-07-04
INT-0029,Omar Rojas,2003-10-27,South Korea,IF,L,R,2022-07-02,16000.0,2025-02-16
INT-0030,Adrian Vargas,2005-10-25,Venezuela,IF,R,R,2024-07-02,323000.0,2025-05-18
INT-0031,Kaito Perez,2005-05-20,South Korea,IF,R,R,2024-07-02,63000.0,2025-01-26
INT-0032,Nicolas Ramirez,2000-07-26,Venezuela,IF,L,L,2019-07-02,202000.0,2025-04-04
INT-0033,Felix Choi,2003-08-01,Mexico,RHP,R,R,2021-07-02,24000.0,2025-01-09
INT-0034,Mateo Quintero,2002-12-02,South Korea,RHP,R,L,2021-07-02,47000.0,2025-08-01
INT-0035,Esteban Herrera,2006-03-01,Dominican Republic,OF,L,R,2025-07-02,172000.0,2025-09-07
INT-0036,Gabriel Choi,2007-12-04,Dominican Republic,OF,L,R,2025-07-02,400000.0,2025-05-05
INT-0037,Seong-hyun Nakamura,1999-09-15,Dominican Republic,LHP,S,L,2018-07-02,31000.0,2025-05-20
INT-0038,Jorge Fernandez,2002-12-16,Dominican Republic,RHP,S,R,2019-07-02,110000.0,2025-04-16
INT-0039,Nicolas Yamamoto,2000-02-13,Japan,OF,R,R,2018-07-02,82000.0,2025-06-12
INT-0040,Ji-ho Mori,2000-05-23,Mexico,C,R,R,2018-07-02,10000.0,2025-01-16
INT-0041,Isaac Vargas,2004-08-17,Japan,IF,R,R,2021-07-02,47000.0,2025-08-20
INT-0042,Nicolas Han,2005-07-08,Colombia,C,R,R,2024-07-02,197000.0,2025-06-10
INT-0043,Marco Fernandez,2007-01-12,Venezuela,IF,R,R,2025-07-02,11000.0,2025-05-26
INT-0044,Andres Mendez,2005-09-04,South Korea,LHP,R,L,2023-07-02,90000.0,2025-05-05
INT-0045,Ren Fernandez,2007-07-06,Cuba,OF,R,R,2025-07-02,114000.0,2025-01-12
INT-0046,Marco Sanchez,2001-11-26,Dominican Rep.,RHP,R,R,2018-07-02,46000.0,2025-03-07
INT-0047,Seong-hyun Park,2002-09-22,Mexico,IF,L,R,2021-07-02,119000.0,2025-05-21
INT-0048,Ren Choi,2001-08-04,Venezuela,OF,L,R,2020-07-02,31000.0,2025-01-10
INT-0049,Hector Garcia,2005-06-12,Dominican Republic,OF,L,L,2022-07-02,10000.0,2025-08-17
INT-0050,Kenji Sanchez,2003-09-08,South Korea,OF,R,R,2022-07-02,237000.0,2025-09-18
INT-0051,Jorge Mendez,2006-09-27,Panama,LHP,R,L,2024-07-02,31000.0,2025-08-27
INT-0052,Yun-seo Ramirez,1999-10-18,Panama,C,R,R,2018-07-02,69000.0,2025-09-02
INT-0053,Isaac Dominguez,2004-10-01,Japan,IF,L,R,2023-07-02,14000.0,2025-04-01
INT-0054,Omar Torres,2005-05-19,Japan,RHP,L,R,2024-07-02,604000.0,2025-07-16
INT-0055,Luis Ortega,2006-03-19,Dominican Republic,OF,R,R,2022-07-02,458000.0,2025-05-04
INT-0056,Carlos Vargas,2005-08-02,Panama,IF,R,R,2022-07-02,-5000.0,2025-05-01
INT-0057,Gabriel Ramirez,2003-06-24,,LHP,R,L,2022-07-02,55000.0,2025-06-09
INT-0058,Kenji Quintero,2000-08-17,Mexico,IF,S,R,2018-07-02,46000.0,2025-01-16
INT-0059,Felix Lee,2006-06-26,South Korea,C,R,R,2025-07-02,76000.0,2025-03-26
INT-0060,Min-jun Torres,2007-12-20,Venezuela,RHP,R,R,2023-07-02,16000.0,2025-01-02
